crid,incident_date,beat_2012_geocoded,complaintcategory,finalfinding,officer_id
1027361,11-May-2009  2:50,2024,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,UN,841
1027361,11-May-2009  2:50,2024,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,NS,842
1027369,14-Jun-2009  14:45,0311,03D-ILLEGAL ARREST,NAF,843
1027369,14-Jun-2009  14:45,0311,03D-ILLEGAL ARREST,NAF,106
1027377,15-Jun-2009  19:30,1121,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,EX,74
1027377,15-Jun-2009  19:30,1121,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,EX,75
1027381,16-Jun-2009  15:10,,05M-UNNECESSARY PHYSICAL CONTACT - OFF DUTY,NS,579
1027389,17-Jun-2009  3:30,0531,03G-MISCELLANEOUS,NAF,179
1027389,17-Jun-2009  3:30,0531,03G-MISCELLANEOUS,NAF,844
1027400,19-May-2009  0:00,0611,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,NAF,487
1027400,19-May-2009  0:00,0611,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,NAF,47
1027429,06-May-2009  0:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,845
1027429,06-May-2009  0:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,846
1027433,16-Jun-2009  10:30,0231,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,697
1027433,16-Jun-2009  10:30,0231,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,699
1027433,16-Jun-2009  10:30,0231,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,847
1027450,18-Jun-2009  0:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,21
1027450,18-Jun-2009  0:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,848
1027450,18-Jun-2009  0:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,849
1027472,19-Jun-2009  0:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,850
1027472,19-Jun-2009  0:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,851
1027476,19-Jun-2009  0:00,NA,05A-ARRESTEE - DURING ARREST,NS,852
1027476,19-Jun-2009  0:00,NA,05A-ARRESTEE - DURING ARREST,NS,853
1027476,19-Jun-2009  0:00,NA,05A-ARRESTEE - DURING ARREST,NS,854
1027476,19-Jun-2009  0:00,NA,05A-ARRESTEE - DURING ARREST,NS,855
1027476,19-Jun-2009  0:00,NA,05A-ARRESTEE - DURING ARREST,NS,856
1027476,19-Jun-2009  0:00,NA,05A-ARRESTEE - DURING ARREST,NS,363
1027476,19-Jun-2009  0:00,NA,05A-ARRESTEE - DURING ARREST,NS,364
1027476,19-Jun-2009  0:00,NA,05A-ARRESTEE - DURING ARREST,NS,857
1027481,19-Jun-2009  0:00,1612,03G-MISCELLANEOUS,NAF,858
1027481,19-Jun-2009  0:00,1612,03G-MISCELLANEOUS,NAF,859
1027481,19-Jun-2009  0:00,1612,03G-MISCELLANEOUS,NAF,860
1027494,20-Jun-2009  6:30,0911,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,35
1027494,20-Jun-2009  6:30,0911,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,861
1027494,20-Jun-2009  6:30,0911,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,862
